"Eff Date","Course ID","Status","Descr","Long Title","Min Units","Max Units","Prgrss Unt","Grading","Last Crse","Enrl Unt Calc","Descr"
"01/01/2017","101888","A","Dynamics and Control II","Dynamics & Control II","3.00","3.00","3.00","M10","N","1","Dynamic systems are found everywhere, from musical instruments to transportation vehicles such as automobiles and aircraft.  Even static civil structures such as bridges and buildings exhibit a dynamic response, which must be considered during design and construction of such systems.
This course introduces the fundamental concepts of vibrating dynamical systems, from single degree of freedom systems through to continuous and multi-degree of freedom systems.  Design of vibration control devices, such as vibration isolators and vibration absorbers, is also considered.  A module on engineering acoustics covers the fundamentals of acoustics, and introduction to psychoacoustics, general noise control, and occupational and environmental noise assessment.
Concurrently, this course also addresses how to control such dynamic systems using modern state-space control.  This involves time domain descriptions of dynamic systems using state-space system models.  The characteristics responsible for the dynamic response (poles, zeros, eigenvalues) are presented.  Control laws using state-space are introduced, including specification of controller characteristics, controller design using pole placement and optimal (LQR) control (introduction).  State observers are presented, including observer design using both pole placement and optimal (Kalman) observers (introduction).  Finally, a computer aided control system design methodology is applied to a real MIMO Aerospace platform and several other unstable MIMO systems."
"01/01/2017","102303","A","MBS Prac A (Semester 1)","MBS Practical A (Semester 1)","0.00","0.00","0.00","NOG","N","1",""
"01/01/2017","102339","A","Fixed Income Securities (M)","Fixed Income Securities (M)","3.00","3.00","3.00","M10","N","1","This course examines the valuation of fixed-income securities, the market operations and management of risk. Topics include: valuation of bonds, term structure of interest rate, measuring and managing interest rate risk, corporate bond market, passive and active bond portfolio management, performance measurement, securitisation and interest rate derivatives."
"01/01/2017","102351","A","Economic Principles (M)","Economic Principles (M)","3.00","3.00","3.00","M10","N","1","The purpose of this course is to introduce students to the basic principles of macroeconomics and microeconomics so that they can understand economic events and the behaviour of the various economic agents involved, analyse their impact on  markets and propose appropriate courses of action. To do this, the student should be able to utilise the tools of economic analysis to perform company and industry competitive analysis and should understand and be conversant with the various economic indicators used."
"01/01/2017","103495","A","Int Exchange - Arts 9 units","International Exchange ? Faculty of Arts (9 units)","9.00","9.00","9.00","M10","N","1","Exchange Studies for Arts students"
"01/01/2017","103570","A","CFD Eng Applications PG","CFD for Engineering Applications","3.00","3.00","3.00","M10","N","1","The course will equip the students with the necessary knowledge to use  computational techniques to solve problems related to flow mechanics. In particular, students will have hands on experience in using computational fluid dynamics to solve engineering problems. Governing equations, discretisation schemes, numerical methods, turbulence modelling, mesh quality and independence test, numerical errors, and boundary conditions will be introduced in the course."
"01/01/2017","104232","A","Corporate Acc III","Corporate Accounting III","3.00","3.00","3.00","M10","N","1","Topics may include business combinations; amalgamations and takeovers; inter-corporate investments and consolidated accounts; and joint arrangements, foreign currency transactions and translation."
"01/01/2017","104244","A","Fin Inst Mgt II","Financial Institutions Management II","3.00","3.00","3.00","M10","N","1","This course provides an introduction to the management of financial institutions and intermediaries.  The course focuses on the importance of ensuring good organizational functioning within institutions to manage the varied types of risk that they may be exposed to.  Students are first introduced to the construct of the firm as a legal entity, and how financial institutions have specific requirements that relate to this.  The course then examines the principles of the theory and practice of effective organizational structure and policies for successful risk management and how to manage the inter-relationships that are inherent between departments.  Students are also introduced to international standards of banking practice and how they impact the functioning of the institutions plus how to define and measure various types of risk these institutions can be exposed to."
"01/01/2017","104246","A","Portfolio Theory & Mgt III","Portfolio Theory & Management III","3.00","3.00","3.00","M10","N","1","This course is an in-depth study of the funds management theory and practice. Participants will first develop a strong theoretical knowledge of asset pricing, market efficiency and funds management. Students will then be exposed to the managed funds industry and be required to apply their theoretical knowledge to understand the process of developing, managing and evaluating these assets. In addition, students will practically develop an Investment Policy Statement (or a Statement of Advice) for an investor, forecast characteristics of various asset classes in an economy, and be able to create an investment vehicle to satisfy investors' needs. The students will also learn various strategies to manage funds, issues that impact performance, and issues in benchmarking and performance evaluation. Equities, Fixed Income Securities, Commodities, Real Estate, Alternate Funds, Emerging, Developing and Developed markets will be examined in the context of portfolio construction."
"01/01/2017","104405","A","Intro Mechatronic Eng","Introduction to Mechatronic Engineering","3.00","3.00","3.00","M10","N","1","This course is made up of two modules that teach fundamental skills that Engineering students require. Introduction to your Discipline and Introduction to Programming for Engineers. Introduction to your Discipline presents an overview of the activities undertaken as a professional in your discipline, providing context for your Engineering studies. Introduction to Programming for Engineers teaches students the importance of computer programming in solving Engineering problems. Students will learn how to analyse computing problems, develop algorithms to describe solutions to these problems, and software implementations in the MATLAB and C or Fortran programming environments."
"01/01/2017","104406","A","Intro Sports Eng","Introduction to Sports Engineering","3.00","3.00","3.00","M10","N","1","This course is made up of two modules that teach fundamental skills that Engineering students require. Introduction to your Discipline and Introduction to Programming for Engineers. Introduction to your Discipline presents an overview of the activities undertaken as a professional in your discipline, providing context for your Engineering studies. Introduction to Programming for Engineers teaches students the importance of computer programming in solving Engineering problems. Students will learn how to analyse computing problems, develop algorithms to describe solutions to these problems, and software implementations in the MATLAB and C or Fortran programming environments."
"01/01/2017","104416","A","Manuf Eng Quality Systems","Manufacturing Engineering & Quality Systems","3.00","3.00","3.00","M10","N","1","Manufacturing engineering and quality engineering are core systems used by organisations in the process of developing new products and getting them into production. Topics include: technological and manufacturing paradigms and the process of innovation, supporting systems, methodologies and techniques comprising design for manufacture and assembly, failure mode effect analysis, process control plans, statistical process control, and 8D problem solving. A number of subject-matter experts from industry will present specific manufacturing and quality engineering systems and techniques, together with specific case studies to illustrate their application."
"01/01/2017","104439","A","Adv Topics Fluid Mechs UG","Advanced Topics in Fluid Mechanics","3.00","3.00","3.00","M10","N","1","This course builds on the concepts learned in core Mechanical Engineering courses and extends these to provide practical interpretive and predictive methods.  The syllabus begins with a practical and theoretical overview of modern flow measurement techniques turbulence theory and potential flow theory, followed by methods used to interpret velocity and flow data such as flow topology. These are then applied to the fundamental flow cases such as free shear flows.  Specific applications of these flow cases are then given through the study of internal flow systems and external flows around air, ground and sea-going vehicles.  These include wind tunnels, race cars, high-performance yachts, swimmers, sports balls, birds and fish."
"01/01/2017","104454","A","Finite Element Structures UG","Finite Element Analysis of Structures","3.00","3.00","3.00","M10","N","1","The course will equip students with the necessary knowledge to use finite element analysis to solve problems related to solid mechanics, dynamics, heat-transfer and acoustics.  FEA is a design/research tool that is extensively used in industry and research institutions. Students will also gain hands-on experience in using finite element analysis software ANSYS to solve realistic engineering problems."
"01/01/2017","104991","A","Principles of Public Law","Principles of Public Law","3.00","3.00","3.00","M10","N","1","An introduction to the role and content of public law in the Australian legal system, and to skills of legal research enabling students to address critical contemporary public law challenges. Selected topics will include: introduction to Federal and State Constitutions, both written and in common law; historical background and theories of constitutionalism, including an introduction to the doctrine of separation of powers and the nature of legislative, executive and judicial power at both Commonwealth and State levels; the exercise of judicial power and the role of the judiciary; the roles of and interactions between courts, parliaments and the executive; representative and responsible government, including the relation of citizens and their parliaments and the structure of government administration; introduction to administrative law theory, including basic administrative law principles; and the protection of human rights in Australia. The course provides a foundation for Australian Constitutional Law and Administrative Law. The course also incorporates a Small Group Discovery Experience, with students working in small groups on research projects to answer the pressing public law questions confronting Australians today."
"01/01/2017","105066","A","Foundations Health & Lifespan","Foundations Health & Lifespan Development","3.00","3.00","3.00","M10","N","1","This course builds on the components of mental health and developmental psychology introduced in Psychology IA and IB. The course work covers two broad thematic areas. The first aims to build a solid foundation in understanding of development across the lifespan by considering select topics in development during childhood, adulthood and old age.  The second provides an introduction to evidence-based psychological assessment, treatment and prevention for mental health behaviours as well as coverage of select topics in biological bases of health and behaviour. The course draws on the biopsychosocial (mind - body) perspective that recognises that health and other behaviours are determined by the interaction of biological mechanisms, psychological processes and social influences."
"01/01/2017","105402","A","Business Valuation II","Business Valuation II","3.00","3.00","3.00","M10","N","1","This course will provide the framework to price and value both securitised and non-securitised entities (whether that be specific assets or whole companies).  This involves the utilisation of both accounting and financial analysis of the entity to determine value.  The course will approach the subject from an applied viewpoint to enable participants to practise valuation methods.  The course will also incorporate basic capital raising issues, from both the fixed income and equity perspectives."
"01/01/2017","105743","A","Chemistry C & M B (UG)","Chemistry Curriculum and Methodology B (UG)","3.00","3.00","3.00","M10","N","1","The course aims to present information on a range of methodologies and develop a variety of pedagogical skills that will prepare students for the start of their teaching career in senior school Chemistry."
"01/01/2017","105755","A","French C & M B (UG)","French Curriculum & Methodology B (UG)","3.00","3.00","3.00","M10","N","1","The course aims to present information on a range of methodologies and develop a variety of pedagogical skills to help students to be better prepared for the start of their teaching career."
"01/01/2017","106109","A","Food Quality & Regulation II","Food Quality & Regulation II","3.00","3.00","3.00","M10","N","1","The principles of quality assurance, management and total quality management, HACCP (hazard analysis of critical control points) system implementation, flow charts and identification of hazards and critical points, ISO and NATA accreditation. Learn to generate nutritional panels for food products using the VITAL program. Hygiene and sanitation, including good manufacturing practices, chemistry and application of cleaners and sanitisers, verification of sanitiser action, equipment design to minimise process failure and health risk. Product recall and national and international food legislation including role of FSANZ, Food Standards Code, legislation hierarchy and audit."
"01/01/2017","106178","A","Control PG","Principles of Control Systems","3.00","3.00","3.00","M10","N","1","Transfer functions; Stability; Dynamic and steady-state performance; Root locus diagrams; Bode plots; Cascade compensation using root locus and frequency response techniques.  Introduction to state-space modelling and analysis.  Analysis and design of digital control systems."
"01/01/2017","106184","A","Medical Home Unit Part 1","Medical Home Unit Part 1","0.00","0.00","3.00","NOG","N","2","The clinical attachments are a program of clinical education through a selection of placements so that students can gain competence in history-taking, patient examination and management.  This includes problem formulation, investigations, treatment (pharmacological and non-pharmacological), counselling, good communication skills, the practice of empathetic medicine and a sound knowledge base that allows diagnosis and management of common disorders to be carried out under appropriate supervision.  Some students will have the opportunity to undertake their training in a rural or remote setting."
"01/01/2017","106407","A","Chinese In-Country Summ School","Chinese In-Country Summer School II","3.00","3.00","3.00","M10","N","1","The Chinese In-Country Summer School is a 5 week intensive language study tour to China from early December to mid-January.  The course is provided in conjunction with the Confucius Institute at the University of Adelaide and Shandong University, where the intensive Chinese language program is undertaken.  Shandong University is one of China's leading universities.  The course includes intensive studies in Mandarin Chinese, cultural activities and seminars, and visits to cultural and historical sites in Shanghai, Shandong and Beijing.  It will greatly enhance students' linguistic abilities and their understanding of Chinese society and culture.
The intensive language training consists of up to 20 hours per week of reading/grammar, oral/conversation and listening classes delivered by highly experienced staff at Shandong University's College of International Education.  The study tour is accompanied by staff from the Department of Asian Studies or the Confucius Institute. Students will have access to individual tutors from Shandong University's after-class tutoring scheme.
After completion students will be required to submit their academic transcript and graduation certificate from Shandong University and a 1,000 word reflection paper on their experience (in English).  
Students wishing to enrol in the Chinese In-Country Summer School must first register with the Confucius Institute at the University of Adelaide, and also see the staff at the Faculty of Arts office before their departure if they wish to have the course counted towards their major/minor in Chinese or Diploma of Languages (Chinese)."
"01/01/2017","106573","A","Psychiatry Selective VI Pt 1","Psychiatry Selective VI Part 1","0.00","0.00","1.50","NOG","N","2","A Selective is a Specialist/Community or Ambulatory Placement. Each  Selective is 4 weeks in duration. Students must do a Selective in Medicine, Primary Care, Psychiatry and Surgery.

Students must take at least one rural-based  Selective (with the exemption of International students who are not required to do a rural placement). 

Note 1: Students that have already fulfilled their 4 weeks rural total (Commonwealth requirement before graduation) may wish to apply for a rural Selective exemption.
 Selective selection is from a pre-determined list of available  Selectives.
Individual ""once-off/self-created""  Selectives may be negotiated (interstate/overseas) for student's Medicine, Surgery, Primary Care OR Psychiatry Selective. Only ONE self-created  Selective may be created in Year 6.  The self-created Selective must be approved by the relevant Discipline before it can be accepted.

Note 2: Some students may be required to complete a directed elective in place of their Medicine or Surgery Selective, based on decisions made at the Year 5 Board of Examiners."
"01/01/2017","107365","A","Education Major Project Part 2","Education Major Project Part 2","6.00","6.00","3.00","M10","Y","2","The project reports on a research project of secondary data, or a small primary data study not requiring ethics approval, conducted with the guidance of an academic supervisor. You will critically analyse and evaluate existing knowledge about a problem in order to investigate the problem. Your conclusions may include implications for better educational practice and further research studies. Progress will be monitored through regular discussions between the supervisor and the student."
"01/01/2017","107592","A","Alg Data Structures DD","Algorithm Design & Data Structures for Engineers","3.00","3.00","3.00","M10","N","1","Builds on the foundation provided by the COMP SCI 1201-1202 sequence to introduce the fundamental concepts of data structures and the algorithms that proceed from them, and aspects of software engineering.  Topics include recursion, the underlying philosophy of object-oriented programming, fundamental data structures (including stacks, queues, linked lists, hash tables and trees), the basics of algorithmic analysis and an introduction to the principles of language translation
- Review of elementary programming concepts
-Fundamental data structures: Stacks; queues; linked lists
- Object-oriented programming: Object-oriented design; encapsulation and information hiding; classes; separation of behaviour and implementation; class hierarchies; inheritance; polymorphism
- Fundamental computing algorithms: O(N log N) sorting algorithms
- Recursion: The concept of recursion; recursive backtracking; implementation of recursion
- Basic algorithmic analysis: Asymptotic analysis of upper and average complexity bounds; identifying differences among best, average and worst case behaviours; big 'O', little 'o', omega and theta notation
- Algorithmic strategies: Brute-force algorithms; greedy algorithms; divide-and-conquer; backtracking; branch-and-bound; heuristics; pattern matching and string/text algorithms; numerical approximation algorithms
- Overview of programming languages: Programming paradigms
- Software evolution: Software maintenance; characteristics of maintainable software; reengineering; legacy systems; software reuse."
"01/01/2017","107716","A","Introduction to Australian Law","Introduction to Australian Law","3.00","3.00","3.00","M10","N","1","This subject is a foundation subject for law postgraduate subjects taken in the Master of Business Law, Master of Comparative Law, Master of Planning and Master of Property. 
The subject commences with an introduction to Australian law and its legal system, including:
- legal system taxonomy, including public and private law, other families of legal systems, including the international legal system and the common law/civil law divide;
- the historical background and the development of the Australian legal system;
- the roles of the courts in Australia, court processes  and hierarchies in Australia and the operation of the doctrine of precedent;
- the separation of powers in Australia; and
- the legislative system in Australia, law making processes and statutory interpretation.
Through a consideration of the law of contract, students will be introduced to issues of supremacy of law (legislation vs common law), The following topics will be covered:
- creation and content of a contract (formation, privity, agency, terms);
- performance and discharge of obligations (performance, breach, frustration, variation and discharge by agreement); and
- remedies (enforcement, compensation and restitution)"
"01/01/2017","107974","A","Exchange Maths (9 units)","Exchange Studies - Mathematical Science","9.00","9.00","9.00","GS8","N","1",""
"01/01/2017","107980","A","Exchange Mech Eng (3 units)","Exchange Studies - Mechanical Engineering","3.00","3.00","3.00","GS8","N","1",""
"01/01/2017","108151","A","Understanding Criminology","Understanding Criminology","3.00","3.00","3.00","M10","N","1","This course offers an introduction to the field of criminology by examining the nature of crime as well as exploring the main social theories that seek to explain why people commit crime. While the first part of the course briefly introduces the concept of crime, its social construction and various representations, the second component covers an array of broadly sociological arguments concerning possible explanations as to why crimes are committed, and how certain ?deviant? acts become problematised. Topics covered in this latter section include criminological arguments drawing on Classicism, Biological and Psychological Positivism, Sociological Positivism, The Chicago School and Subcultural Theories, Interactionism and Labelling, Social Control Theories, Radical and Critical Perspectives, Realist Approaches, Contemporary Classicism and Feminism. Ultimately the question is posed whether the insights offered into the varied motivations to commit crime are practically useful in its prevention or reduction."
"01/01/2017","108233","A","Music Prof Development 1A","Music Professional Development 1A","3.00","3.00","3.00","M10","N","1","This course provides the opportunity to participate in specialist ensembles, both large and small, that cater for each student?s instrument/voice and career goals. The course also offers components which can enhance professional skills, depending on the student?s instrument/voice. Ensemble rehearsal and performance focusses on the skills of reading, listening, intonation, blend, articulation, individual sound, improvisation and, stylistic interpretation within the ensemble context. Through involvement in rehearsals in which students gain experience with professional ensemble directors, students will develop effective practising strategies, rehearsal discipline and creative approaches to problem solving. Students will gain an understanding of the importance of teamwork, an awareness of professional standards and expectations, and be given opportunities to build effective working relationships with colleagues. Central to the course is a focus on professional standards and expectations. Students will undertake two components, to be determined on the outcome of ensemble auditions. The components typically available are: Elder Conservatorium Chamber Orchestra, Elder Conservatorium Symphony Orchestra, Elder Conservatorium Wind Orchestra, Guitar Ensemble, Jazz Big Band, Latin Ensemble, Rhythm & Reading Ensemble, Small Jazz Ensemble, Elder Conservatorium Chorale (SATB choir), Bella Voce (female choir), Jazz Vocal Ensemble, Chamber Music, Keyboard Musicianship, and Music Journalism."
"01/01/2017","108234","A","Music Prof Development 1B","Music Professional Development 1B","3.00","3.00","3.00","M10","N","1","This course provides the opportunity to participate in specialist ensembles, both large and small, that cater for each student?s instrument/voice and career goals. The course also offers components which can enhance professional skills, depending on the student?s instrument/voice. Ensemble rehearsal and performance focusses on the skills of reading, listening, intonation, blend, articulation, individual sound, improvisation and, stylistic interpretation within the ensemble context. Through involvement in rehearsals in which students gain experience with professional ensemble directors, students will develop effective practising strategies, rehearsal discipline and creative approaches to problem solving. Students will gain an understanding of the importance of teamwork, an awareness of professional standards and expectations, and be given opportunities to build effective working relationships with colleagues. Central to the course is a focus on professional standards and expectations. Students will undertake two components, to be determined on the outcome of ensemble auditions. The components typically available are: Elder Conservatorium Chamber Orchestra, Elder Conservatorium Symphony Orchestra, Elder Conservatorium Wind Orchestra, Guitar Ensemble, Jazz Big Band, Latin Ensemble, Rhythm & Reading Ensemble, Small Jazz Ensemble, Elder Conservatorium Chorale (SATB choir), Bella Voce (female choir), Jazz Vocal Ensemble, Chamber Music, Keyboard Musicianship, and Music Journalism."
"01/01/2017","108236","A","Music Prof Development 2B","Music Professional Development 2B","3.00","3.00","3.00","M10","N","1","This course provides the opportunity to participate in specialist ensembles, both large and small, that cater for each student?s instrument/voice and career goals. The course also offers components which can enhance professional skills, depending on the student?s instrument/voice. Ensemble rehearsal and performance focusses on the skills of reading, listening, intonation, blend, articulation, individual sound, improvisation and, stylistic interpretation within the ensemble context. Through involvement in rehearsals in which students gain experience with professional ensemble directors, students will develop effective practising strategies, rehearsal discipline and creative approaches to problem solving. Students will gain an understanding of the importance of teamwork, an awareness of professional standards and expectations, and be given opportunities to build effective working relationships with colleagues. Central to the course is a focus on professional standards and expectations. Students will undertake two components, to be determined on the outcome of ensemble auditions. The components typically available are: Elder Conservatorium Chamber Orchestra, Elder Conservatorium Symphony Orchestra, Elder Conservatorium Wind Orchestra, Guitar Ensemble, Jazz Big Band, Latin Ensemble, Rhythm & Reading Ensemble, Small Jazz Ensemble, Elder Conservatorium Chorale (SATB choir), Bella Voce (female choir), Jazz Vocal Ensemble, Chamber Music, Stagecraft, Accompanying, and Music Journalism."
"01/01/2017","108282","A","Biomedical Instrumentation PG","Biomedical Instrumentation PG","3.00","3.00","3.00","M10","N","1","To develop an understanding of the measurement principles of medical instrumentation, including biochemical sensors, bio-potential amplifiers, bioelectrical signals (ECG, EEG), measurement of respiratory function, cardiac variables, blood pressure, blood flow as well as medical devices."
"01/01/2017","108368","A","Res. Methods in Marine Biology","Research Methods in Marine Biology III","3.00","3.00","3.00","M10","N","1","Using industry standards in the practice of marine biology this course provides education in the methods of collection, analysis and reporting of coastal, aquarium and institutional laboratory data, and their experimental design. Lectures outline the fundamental disagreements in approach to science and  and quantitative sciences and the scientific and societal value of robust experimental methods. Some knowledge of basic statistics is required. Experimental design will be emphasised, and the elements of statistical tests, including linear modelling, will be considered in a variety of biological, planning and legal contexts. Practical work involves use of structured thinking to resolving spatial problems of sampling, computers and software, and will complement methods introduced in lectures.  An understanding of the unique issues of problem solving marine sampling wave exposed and changing ocean environments are developed in a series of workshops.  These workshops provide a sampling and statistical basis for students to consider the fundamental elements of developing their own sampling or experimental projects in an actual or simulated marine environment.  This coverage of fundamental areas of sampling and statistical analysis, known to cause problems for marine biologists in their understanding and implementation of advice from statistician, bridges known gaps between biological training and industry needs."
"01/01/2017","108379","A","Physics IE","Physics IE: Mechanics and Thermodynamics","3.00","3.00","3.00","M10","N","1","This calculus-based course provides electrical and electronic engineering students with important foundational knowledge about mechanics, materials, heat transfer, thermodynamics and fluid mechanics and its application to common electrical engineering systems. The course includes weekly small-group problem-solving workshops, and relevant practical sessions."
"01/01/2017","108426","A","Hon Anml Sc Project (T/Y) Cont","Honours Animal Sc Project (Two-Year) Continuing","0.00","0.00","4.50","NOG","N","2","Students completing this course carry out a research project under the supervision of a member or members of staff.  The overall aims of the course are to develop knowledge and skills in a particular area of research, and skills required for the practice of independent scientific research. The Honours year commences in February or July and the research project is chosen through consultation with the Honours coordinator prior to the commencement of the Honours year."
"01/01/2017","108521","A","RSCH Paeds & Repro Hlth","Research in Paediatrics & Reproductive Health","0.00","0.00","0.00","NOG","N","1",""
"01/01/2017","108522","A","Accounting Systms & Proc (M)","Accounting Systems and Processes (M)","3.00","3.00","3.00","M10","N","1","This course aims to provide students with an overall knowledge and understanding of accounting information systems and implications of their use in modern business.  The course will examine a number of areas including the roles of accounting information systems in business particularly in supporting strategic and operational decision-making, problem-solving and operations (e.g. transactions cycles including revenue, expenditure), the manner in which these systems are developed, acquired and deployed, and used to enhance business processes, internal controls, risk management, and auditing. Contemporary issues including security, data and information management and ethics are also covered."
"01/01/2017","108539","A","Managing Project and Systemic","Managing Project and Systemic Risk","3.00","3.00","3.00","M10","N","1","This course addresses recognition of risks and risk analysis, methods for researching, identifying, managing and communicating results for project risks, using ISO31000 for systems and project risk, and for systemic and cascading risk using international best practice Monte Carlo simulation, design by risk, the concept of tolerance and phase-gate process are addressed and competencies developed in participants.  The course addresses systemic and cascading risk. The outcome is competence to lead or participate in a risk management team."
"01/01/2017","108650","A","Research Methods and Statistic","Research Methods and Statistics","3.00","3.00","3.00","M10","N","1","Fundamental concepts of probability theory and statistics. Applications of statistical methods in engineering and the use of statistical software in modern data analysis. Good research practice, procedures, ethics and data management. Skills in building an argument and communicating it orally and in writing."
"01/01/2017","108669","A","Global Economic History II","Global Economic History II","3.00","3.00","3.00","M10","N","1","This course covers important aspects of the historical evolution of the global economy from the industrial revolution until today. A distinguishing feature is the included coverage of related important historical developments of economic ideas and concepts and how they shaped economic policy and development. With a global outlook it focuses on topics which are relevant to an understanding of current economic issues ranging from industrialization processes to international financial and trade arrangements to the rise of the welfare state and government intervention in the economy."
"01/01/2017","108736","A","Topol & Analysis Hons","Topology and Analysis - Honours","3.00","3.00","3.00","M11","N","1","Solving equations is a crucial aspect of working in mathematics, physics, engineering, and many other fields. These equations might be straightforward algebraic statements, or complicated systems of differential equations, but there are some fundamental questions common to all of these settings: does a solution exist? If so, is it unique? And if we know of the existence of some specific solution, how do we determine it explicitly or as accurately as possible?  This course develops the foundations required to rigorously establish the existence of solutions to various equations, thereby laying the basis for the study of such solutions.  Through an understanding of the foundations of analysis, we obtain insight critical in numerous areas of application, such areas ranging across physics, engineering, economics and finance.

Topics covered are: sets, functions, metric spaces and normed linear spaces, compactness, connectedness, and completeness.  Banach fixed point theorem and applications, uniform continuity and convergence. General topological spaces, generating topologies, topological invariants, quotient spaces. Introduction to Hilbert spaces and bounded operators on Hilbert spaces."
"01/01/2017","108759","A","RSCH Medicine(50)/PHlth(50)","Research in Medicine(50)/Public Health(50)","0.00","0.00","0.00","NOG","N","1",""
"01/01/2017","108864","A","Physics C&M B","Physics Curriculum & Methodology B","3.00","3.00","3.00","M10","N","1","The course aims to present information on a range of methodologies and discuss a variety of skills to help students to be better prepared for the start of their teaching career."
"01/01/2017","108940","A","Ethical Princ in Fin & Account","Ethical Principles in Finance & Accounting","3.00","3.00","3.00","M10","N","1","The purpose of this course is to focus on the context of the theoretical and empirical underpinning of professional ethics in finance and accounting. The course seeks to link theory and research to the practical application of ethical choices facing the finance and accounting professions. The conduct of stakeholders responsible for preparing and using financial information including moral dimensions and ethical aspects are interpreted through the application of various accounting and finance theories. This reinforces the role of finance and accounting professionals in a dynamic business environment and their significance to society in general. In accordance with various principle-based Association and Regulatory Codes of Ethics and Standards of Professional Conduct, a number of contemporary business issues are examined to illustrate these concepts."
